gg/mm/aaaa;Precipitazione [mm];Tipo Dato
14/12/2016;;@
15/12/2016;;@
16/12/2016;;@
17/12/2016;;@
18/12/2016;;@
19/12/2016;;@
20/12/2016;;@
21/12/2016;;@
22/12/2016;;@
23/12/2016;0;P
24/12/2016;0;P
25/12/2016;0;P
26/12/2016;0;P
27/12/2016;0,2;P
28/12/2016;0;P
29/12/2016;0;P
30/12/2016;0;P
31/12/2016;0;P
01/01/2017;0;V
02/01/2017;2;V
03/01/2017;16,8;V
04/01/2017;0;V
05/01/2017;0;V
06/01/2017;0;V
07/01/2017;0;V
08/01/2017;0;V
09/01/2017;0;V
10/01/2017;0;V
11/01/2017;0;V
12/01/2017;0,2;V
13/01/2017;21,2;V
14/01/2017;5,8;V
15/01/2017;0;V
16/01/2017;0;V
17/01/2017;0;V
18/01/2017;0;V
19/01/2017;0;V
20/01/2017;0;V
21/01/2017;0;V
22/01/2017;0;V
23/01/2017;0;V
24/01/2017;0;V
25/01/2017;0;V
26/01/2017;0;V
27/01/2017;0;V
28/01/2017;0;V
29/01/2017;0;V
30/01/2017;0;V
31/01/2017;10,4;V
01/02/2017;8,6;V
02/02/2017;2,6;V
03/02/2017;6;V
04/02/2017;16,4;V
05/02/2017;13;V
06/02/2017;48,4;V
07/02/2017;2;V
08/02/2017;0;V
09/02/2017;0;V
10/02/2017;0;V
11/02/2017;0;V
12/02/2017;0;V
13/02/2017;0;V
14/02/2017;0;V
15/02/2017;0;V
16/02/2017;0;V
17/02/2017;2,2;V
18/02/2017;5,8;V
19/02/2017;0;V
20/02/2017;0;V
21/02/2017;0;V
22/02/2017;0;V
23/02/2017;0,4;V
24/02/2017;3,6;V
25/02/2017;29,4;V
26/02/2017;0;V
27/02/2017;0;V
28/02/2017;0,4;V
01/03/2017;7,4;V
02/03/2017;4,8;V
03/03/2017;0,2;V
04/03/2017;0;V
05/03/2017;26;V
06/03/2017;24,4;V
07/03/2017;37;V
08/03/2017;0;V
09/03/2017;0;V
10/03/2017;0;V
11/03/2017;0;V
12/03/2017;0;V
13/03/2017;0;V
14/03/2017;0;V
15/03/2017;0;V
16/03/2017;0;V
17/03/2017;0;V
18/03/2017;0;V
19/03/2017;0;V
20/03/2017;0;V
21/03/2017;0;V
22/03/2017;0;V
23/03/2017;0,8;V
24/03/2017;0;V
25/03/2017;0;V
26/03/2017;1,2;V
27/03/2017;0,4;V
28/03/2017;0;V
29/03/2017;0;V
30/03/2017;0;V
31/03/2017;0;V
01/04/2017;0;V
02/04/2017;0;V
03/04/2017;6,2;V
04/04/2017;0;V
05/04/2017;0,2;V
06/04/2017;0;V
07/04/2017;0,4;V
